Population	Institution Name	State	2002 in-state %	2018 in-state %	% change
100751	The University of Alabama	AL	76.4%	34.1%	-55.4%
102614	University of Alaska Fairbanks	AK	90.6%	89.4%	-1.3%
104179	University of Arizona	AZ	65.4%	55.2%	-15.6%
106397	University of Arkansas	AR	80.6%	49.8%	-38.3%
110635	University of California-Berkeley	CA	90.4%	71.5%	-20.9%
126614	University of Colorado Boulder	CO	54.5%	51.1%	-6.2%
129020	University of Connecticut	CT	67.5%	66.5%	-1.5%
130943	University of Delaware	DE	39%	39.3%	0.7%
134130	University of Florida	FL	86.7%	80.2%	-7.4%
139959	University of Georgia	GA	85.5%	84%	-1.8%
141574	University of Hawaii at Manoa	HI	77%	61.3%	-20.3%
142285	University of Idaho	ID	70.1%	69.8%	-0.5%
145637	University of Illinois Urbana-Champaign	IL	88.9%	76.4%	-14.1%
151351	Indiana University-Bloomington	IN	64.2%	57.5%	-10.5%
153658	University of Iowa	IA	59.4%	58.3%	-1.9%
155317	University of Kansas	KS	69%	58.3%	-15.6%
157085	University of Kentucky	KY	79.4%	63%	-20.6%
159391	Louisiana State University and Agricultural & Mechanical College	LA	87%	76.7%	-11.9%
161253	University of Maine	ME	79.8%	53.6%	-32.9%
163286	University of Maryland-College Park	MD	65.6%	64.2%	-2.1%
166629	University of Massachusetts-Amherst	MA	86.8%	69.6%	-19.9%
170976	University of Michigan-Ann Arbor	MI	65%	53%	-18.5%
174066	University of Minnesota-Twin Cities	MN	66.3%	65.2%	-1.6%
176017	University of Mississippi	MS	54.7%	43%	-21.4%
178396	University of Missouri-Columbia	MO	82.2%	67.6%	-17.8%
180489	The University of Montana	MT	74.8%	66.5%	-11.1%
181464	University of Nebraska-Lincoln	NE	82.4%	69.4%	-15.7%
182290	University of Nevada-Reno	NV	85.5%	72.9%	-14.8%
183044	University of New Hampshire-Main Campus	NH	51.8%	41.5%	-19.9%
186380	Rutgers University-New Brunswick	NJ	88.2%	83.4%	-5.5%
187985	University of New Mexico-Main Campus	NM	88.8%	83%	-6.6%
196097	Stony Brook University	NY	91.2%	77.2%	-15.3%
199120	University of North Carolina at Chapel Hill	NC	82.3%	82.1%	-0.2%
200280	University of North Dakota	ND	47.5%	36.9%	-22.3%
204796	Ohio State University-Main Campus	OH	84.5%	65.6%	-22.3%
207500	University of Oklahoma-Norman Campus	OK	75.2%	56.7%	-24.6%
209551	University of Oregon	OR	68.3%	50.4%	-26.3%
214777	Pennsylvania State University-Main Campus	PA	67.5%	55.6%	-17.7%
217484	University of Rhode Island	RI	49.7%	41.6%	-16.4%
218663	University of South Carolina-Columbia	SC	76.7%	51.5%	-32.9%
219471	University of South Dakota	SD	66.2%	61.1%	-7.7%
221759	The University of Tennessee-Knoxville	TN	77.4%	76.5%	-1.1%
228778	The University of Texas at Austin	TX	91.1%	88.9%	-2.4%
230764	University of Utah	UT	81%	60.5%	-25.2%
231174	University of Vermont	VT	29%	22.2%	-23.4%
234076	University of Virginia-Main Campus	VA	67.6%	64.3%	-4.8%
236948	University of Washington-Seattle Campus	WA	81.5%	62%	-23.9%
238032	West Virginia University	WV	53%	46.2%	-12.9%
240444	University of Wisconsin-Madison	WI	63.6%	52.9%	-16.9%
240727	University of Wyoming	WY	66.2%	47.5%	-28.3%
