Institution Name	State	2002 out-of-state %	2018 out-of-state %	% change
The University of Alabama	AL	23.6%	65.9%	179.5%
University of Alaska Fairbanks	AK	9.4%	10.6%	12.1%
University of Arizona	AZ	34.6%	44.8%	29.5%
University of Arkansas	AR	19.4%	50.2%	159.3%
University of California-Berkeley	CA	9.6%	28.5%	197.9%
University of Colorado Boulder	CO	45.5%	48.9%	7.5%
University of Connecticut	CT	32.5%	33.5%	3.2%
University of Delaware	DE	61.0%	60.7%	-0.4%
University of Florida	FL	13.3%	19.8%	48.4%
University of Georgia	GA	14.5%	16.0%	10.5%
University of Hawaii at Manoa	HI	23.0%	38.7%	68.0%
University of Idaho	ID	29.9%	30.2%	1.1%
University of Illinois Urbana-Champaign	IL	11.1%	23.6%	112.8%
Indiana University-Bloomington	IN	35.8%	42.5%	18.8%
University of Iowa	IA	40.6%	41.7%	2.7%
University of Kansas	KS	31.0%	41.7%	34.7%
University of Kentucky	KY	20.6%	37.0%	79.6%
Louisiana State University and Agricultural & Mechanical College	LA	13.0%	23.3%	79.4%
University of Maine	ME	20.2%	46.4%	130.1%
University of Maryland-College Park	MD	34.4%	35.8%	3.9%
University of Massachusetts-Amherst	MA	13.2%	30.4%	130.8%
University of Michigan-Ann Arbor	MI	35.0%	47.0%	34.3%
University of Minnesota-Twin Cities	MN	33.7%	34.8%	3.2%
University of Mississippi	MS	45.3%	57.0%	25.8%
University of Missouri-Columbia	MO	17.8%	32.4%	81.9%
The University of Montana	MT	25.2%	33.5%	33.0%
University of Nebraska-Lincoln	NE	17.6%	30.6%	73.5%
University of Nevada-Reno	NV	14.5%	27.1%	86.9%
University of New Hampshire-Main Campus	NH	48.2%	58.5%	21.4%
Rutgers University-New Brunswick	NJ	11.8%	16.6%	41.0%
University of New Mexico-Main Campus	NM	11.2%	17.0%	52.6%
Stony Brook University	NY	8.8%	22.8%	158.4%
University of North Carolina at Chapel Hill	NC	17.7%	17.9%	1.0%
University of North Dakota	ND	52.5%	63.1%	20.1%
Ohio State University-Main Campus	OH	15.5%	34.4%	121.3%
University of Oklahoma-Norman Campus	OK	24.8%	43.3%	74.6%
University of Oregon	OR	31.7%	49.6%	56.7%
Pennsylvania State University-Main Campus	PA	32.5%	44.4%	36.8%
University of Rhode Island	RI	50.3%	58.4%	16.2%
University of South Carolina-Columbia	SC	23.3%	48.5%	108.5%
University of South Dakota	SD	33.8%	38.9%	15.0%
The University of Tennessee-Knoxville	TN	22.6%	23.5%	3.7%
The University of Texas at Austin	TX	8.9%	11.1%	24.1%
University of Utah	UT	19.0%	39.5%	107.2%
University of Vermont	VT	71.0%	77.8%	9.6%
University of Virginia-Main Campus	VA	32.4%	35.7%	9.9%
University of Washington-Seattle Campus	WA	18.5%	38.0%	105.3%
West Virginia University	WV	47.0%	53.8%	14.6%
University of Wisconsin-Madison	WI	36.4%	47.1%	29.6%
University of Wyoming	WY	33.8%	52.5%	55.4%
